text
"[기고] 총선 위기를 서울 편입 이슈로 반전시키려는 선동 정치"
"[대표칼럼] 김포 서울시 편입, 진정성에 달렸다"
"정하영 전 김포시장, ""서울편입 추진은 총선용, 부화뇌동, 고향팔이"" 비판"
"김포 민주당 시의원들, ""시민들 모르게 미국 가서 일방적 괴문서 유포한 김인수 의장은 국민의힘 나팔수인가? 시의장인가?"" 유감 성명"
"국민의힘 경기도당, 김포ㆍ고양ㆍ파주 광역교통정책 간담회 개최"
"'서울 편입 발전론' 소통 박차... 단체 대표들 긍정 반응"
"김동식 전 김포시장, ""일본에 나라 팔아먹은 날""... 서울편입 특별법 발의 맹비난"
"민주당 의원들 반발...협의 안 했다"
"김포 국힘 시의원들, '김주영.박상혁 의원, 서울 편입 명확한 입장 밝혀라'"
"오세훈 시장, 백경현 구리시장 면담… 구리시 서울 편입 공식 논의"
"경기도민 66.3%, '김포 등 서울시 편입' 반대... 김포도 반대 (61.9%)가 찬성(36.3%) 보다 응답 높아"
"고양시, “수도권 재편, 시민 편익과 도시 경쟁력 면밀하게 검토해 논의해야"
"“우리 운명은 우리가 결정... 서울 편입, 정치적 이유 빼면 가능"
"이상민 장관은 경기북부특별자치도 주민투표 조속 실시하라"
"김포시, “서울 편입 되도 성장 유지... 세금 혜택ㆍ대입 특별전형 등 특별법으로 해소 가능"
"홍원길 의원, 김포 서울 편입 등 모든 당면과제는 도민의 뜻대로 해야"
"“도의회 96%, 북부특별자치도 설치 주민투표법 제정 찬성... 정부, 적극 지원 요청”"
"김주영 의원, “이제는 국민의힘이 답할 차례... 5호선 예타 면제 당론 채택하라"
"임태희 교육감, 김포 서울 편입 간단히 후다닥 할 문제 아냐”"
"김검시대, 유정복 인천시장은 김포의 배신자가 될 셈인가 비판 성명"
"김포시의회 민주당, 검토보고서 제출 요구 막연한 기대감과 부정확한 정보로 혼란 계속"
"경실련경기도협의회 지부들,김포시와 광명시 등 서울시 편입 즉각 철회하라 촉구"
"민주당, 서울5호선 김포 연장 예타 면제 법안 당론으로 채택"
"부산, 광주, 대구, 대전 비수도권 광역 경실련 “균형발전 역행하는 김포시 서울 편입 추진 중단하라” 성명"
"김병수 시장-시민들, 서울편입·5호선 등 밀도 있는 소통"
"김포 정체성 안 사라져... 서울은 간판이 아니라 브랜드, 서로 윈윈"
"김포시의회 민주당 단 한 차례도 논의 없었다... 교통문제 먼저 해결해야"
"김포 팔아먹는 혹세무민 멈춰라 시민의힘, 기자회견서 주장"
"김포시 JTBC 보도는 오보... 서울 편입 검토보고서 당연히 있다"
"“권한 보다 도시 발전이 중요, 지금이 김포의 기회”"
"조경태,광역단체장이 자기 지역만 챙겨 김포 출마설은 부인"
"홍철호 위원장 수도권 젊은 가정들은 피해자, 교통이라도 서울과 똑같이 살게 해달라는 것 뿐"
"염종현 도의장, 김포 등 서울 편입론에 시대착오적 행정구역 개편 비판"
"민주당, 5호선 김포연장 예타면제 당론 채택"
"경실련  총선 매표용 김포시 서울 편입 추진 중단하라"
"김동연, 간판만 갈아끼면 교통문제 해결되나"
"오세훈, 김포ㆍ서울시민 모두의 공감대와 동의로 논의 진행돼야"
"김동연, 서울 확장 주장은 대국민 사기극... 이제 尹대통령이 답해야"
